Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,imgURL
I Tri Sioch챔tt,"strada Farnese 74, Parma, 43125, Italy",Parma,25,39,EUR,Traditional Cuisine,10.2995451,44.7745082,3.90522E+11,https://guide.michelin.com/en/emilia-romagna/parma/restaurant/i-tri-siochett,https://www.itrisiochett.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a929df81f54f4da3add487c66fd325f5?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4ee3c636ad0c4b25b7d4bf046775c20b?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/15471c4e4f1c4a14ba6376616874eec8?width=1000']"
Alpenrose,"localit횪 Pinzago 24, Brixen, 39042, Italy",Brixen,35,60,EUR,"Regional Cuisine, Classic Cuisine",11.6390082,46.706382,3.90473E+11,https://guide.michelin.com/en/trentino-alto-adige/bressanone/restaurant/alpenrose,https://www.alpenroses.com/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b164914522234749947d8db7e846b35b?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9ccf109d3cd04e2eb0670950d3606c3f?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ee7bd95c194f4698b54575f370c459f9?width=1000']"
Trita Pepe,"via Gabriele D'Annunzio 4, Manoppello Scalo, 65024, Italy",Manoppello Scalo,12,35,EUR,Regional Cuisine,14.054071,42.30439,3.90859E+11,https://guide.michelin.com/en/abruzzo/manoppello-scalo/restaurant/trita-pepe,https://www.trattoriatritapepe.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/cd096a692f2147829dd359bb3248695f?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2b43f71a3f1748c28ecb360035fa04b7?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/98c6aa027eb0447592ad0145a0dd6282?width=1000']"
La Pignata,"viale Dei Tigli 7, Ariano Irpino, 83031, Italy",Ariano Irpino,20,50,EUR,"Regional Cuisine, Campanian",15.0947663,41.1569021,3.90826E+11,https://guide.michelin.com/en/campania/ariano-irpino/restaurant/la-pignata,http://www.ristorantelapignata.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/fe70dc412832473f976428f56718995a?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e525ade96775430a8556b6c4ea135536?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2c000bfb762f4f6da6a2f7b221e44531?width=1000']"
Trattoria da Paeto,"via Patriarcato 78, Pianiga, 30030, Italy",Pianiga,40,55,EUR,Regional Cuisine,12.0355686,45.4693768,39041469380,https://guide.michelin.com/en/veneto/pianiga/restaurant/trattoria-da-paeto,,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/01d612b6770d4d488380dfd5cb340a8a?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a6d8779aaabb46df90b7a83b5c886e65?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b958a2c805854e538366fb5bcf970940?width=1000']"
Il Ciabot,"via Costa 7, Roletto, 10060, Italy",Roletto,30,50,EUR,Regional Cuisine,7.3305602,44.9253944,3.90122E+11,https://guide.michelin.com/en/piemonte/roletto/restaurant/il-ciabot,https://www.ristoranteilciabot.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ce95635f62b74a0fa14313fe3ee1b69a?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a02303b0c3f34bc0b6f7fd17caf8fcae?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3a0a980a361a4e438054c79919550839?width=1000']"
Osteria La Torre,"via dell'Ospedale 22, Cherasco, 12062, Italy",Cherasco,48,48,EUR,"Piedmontese, Regional Cuisine",7.8570495,44.6516877,3.90172E+11,https://guide.michelin.com/en/piemonte/cherasco/restaurant/osteria-la-torre,https://www.osterialatorre-cherasco.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/85041eae1abc40a59947afb1a53a342f?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/acad31c26d974142a71e145b5f8b7803?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/15df5a7e8bfa484e9849750fc4fa6f3f?width=1000']"
Locanda Mariella,"localit횪 Fragnolo 29, Calestano, 43030, Italy",Calestano,35,50,EUR,"Emilian, Modern Cuisine",10.158748,44.586742,39052552102,https://guide.michelin.com/en/emilia-romagna/calestano/restaurant/locanda-mariella,,Bib Gourmand,['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7228c294fd764504a842c141d65fd81b?width=1000']
Caff챔 La Crepa,"piazza Matteotti 14, Isola Dovarese, 26031, Italy",Isola Dovarese,24,60,EUR,"Lombardian, Regional Cuisine",10.3123463,45.1760808,3.90375E+11,https://guide.michelin.com/en/lombardia/isola-dovarese/restaurant/caffe-la-crepa,https://caffelacrepa.net,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/451f101cbcf944ebb0cca84a6fe72bd7?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/61f60a3ed26149d4b0050546a726334f?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/17a8f17482fb47c49e751975518adb63?width=1000']"
Due Mari,"via Seggio 2, Tiriolo, 88056, Italy",Tiriolo,15,30,EUR,Regional Cuisine,16.5075033,38.9489777,3.90962E+11,https://guide.michelin.com/en/calabria/tiriolo/restaurant/due-mari,https://www.duemari.com/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1706de34fe8f4aa9a0d29e4a1be2c6fe?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/81986540c66c4efc90a166af404fdb80?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/48ce1e23886649289d0df438491879a5?width=1000']"
